"plant_id","datetime","treatment","genotype","group","date","dap","solidity","sv_area","tv_area","extent_x","extent_y","height_above_bound","fw_biomass","dw_biomass","height_width_ratio","tiller_count","wue"
"Dr1AD000174",1387227310,33,"R20","R20-33","2013-12-16 14:55:10",20,0.142788427934,78846.5869349415,53682.0476320698,15.2906568837146,17.4707109344621,17.4707109344621,2.69009374612068,0.299712766689257,1.14257425742574,3.35030420229877,226.570652111901
"Dr4AD000572",1387227456,33,"R102","R102-33","2013-12-16 14:57:36",20,0.225480728859,71584.9207429765,27499.6223964353,10.1433070416721,14.2460476510648,14.2157691225822,2.41743547763045,0.26758287597251,1.40149253731343,2.72350185050435,142.033572902731
"Dr6AD000771",1387227893,33,"R133","R133-33","2013-12-16 15:04:53",20,0.225518361423,189554.920523765,114100.970368264,22.5272251910568,17.516128727186,17.4707109344621,6.84692796925911,0.789551677706399,0.775537634408602,5.06780167815357,333.723451626348
"Dr6AA000713",1387228042,100,"R133","R133-100","2013-12-16 15:07:22",20,0.265769285182,182987.345112355,147868.66715021,19.6659042494508,17.5009894629447,17.4707109344621,6.60033115628035,0.760492853648072,0.888375673595073,4.76654552340998,236.723602991404
"Dr7AD000877",1387228260,33,"R161","R161-33","2013-12-16 15:11:00",20,0.18298080055,149692.245006258,129015.476145337,23.0570994395024,17.8037747477707,17.4858501987034,5.35017945498317,0.613175709134358,0.758371634931057,4.77630274322371,315.806424063836
"Dp1AD000068",1387228625,33,"A10","A10-33","2013-12-16 15:17:05",20,0.240492660237,128809.73526316,106396.126169027,22.6029215122633,9.84052175684605,9.18953339447008,4.56609095548925,0.520779179439896,0.406563965170797,5.37412925311767,278.80895078606
"Dr8AA000908",1387228845,100,"R187","R187-100","2013-12-16 15:20:45",20,0.217667937204,230210.191912095,150063.679421775,25.6459136247649,17.5615465199099,17.4858501987034,8.3734365705506,0.969434557507744,0.681818181818182,5.60860739046411,324.697026674323
"Dp2AD000173",1387229064,33,"B100","B100-33","2013-12-16 15:24:24",20,0.257746893655,85910.6735527863,57827.0431356329,13.9432623662388,9.76482543563954,9.74968617139824,2.95533337222987,0.330968448931458,0.699239956568947,4.37922093737738,215.855963700468
"Dr2AA000312",1387229281,100,"R70","R70-100","2013-12-16 15:28:01",20,0.243171480815,196576.682218432,150623.013720461,23.238770610398,15.0484286558538,14.9121752776821,7.11057839531934,0.820620089545312,0.641693811074919,5.41879566422141,318.085246308142
"Dr7AD000861",1387229573,33,"R161","R161-33","2013-12-16 15:32:53",20,0.169202084144,139368.190314362,135090.715903272,23.7837841230848,17.4858501987034,17.4555716702208,4.96253579281574,0.567496006950943,0.733927434754933,4.74459009218524,283.845601454913
"Dp1AA01008",1387229719,100,"A10","A10-100","2013-12-16 15:35:19",20,0.173772392611,214464.561298257,138449.758461176,25.2371534902498,19.1057514725226,17.4252931417382,7.78222564650592,0.899766608373887,0.690461907618476,5.45969765177364,306.816253645576
"Dr5AA000618",1387229793,100,"R128","R128-100","2013-12-16 15:36:33",20,0.262487775467,232699.770465153,119598.46543492,23.2690491388806,17.5766857841512,17.4858501987034,8.46691431513467,0.980449920198062,0.751463890696161,5.47668309601965,328.208420966365
"Dr3AD000467",1387230011,33,"R98","R98-33","2013-12-16 15:40:11",20,0.208966544149,199027.731805547,107866.680002151,23.9351767654979,17.5464072556686,17.4707109344621,7.20260946900682,0.831464977384206,0.729917773561037,5.2458795781162,373.41037862204
"Dr8AA000910",1387230158,100,"R187","R187-100","2013-12-16 15:42:38",20,0.231029298261,273638.220263268,173165.115967024,28.7948805869557,17.7886354835294,17.4858501987034,10.0040555911932,1.1615857481685,0.607255520504732,6.13036288822321,380.053083698983
"Dr6AD000770",1387230377,33,"R133","R133-33","2013-12-16 15:46:17",20,0.196204792881,158917.370078408,94747.0926039968,22.1487435850243,17.4858501987034,17.4707109344621,5.69656092753852,0.653993099053007,0.78879015721121,4.78586363731231,305.610327073862
"Dr7AA000818",1387230526,100,"R161","R161-100","2013-12-16 15:48:46",20,0.223643909281,172034.679902221,161052.785821372,23.9654552939805,13.9129838377562,13.5193629674823,6.18908466647989,0.712031808075899,0.564118761844599,5.38602909144927,277.028470051886
"Dr3AD000468",1387230745,33,"R98","R98-33","2013-12-16 15:52:25",20,0.166815828562,118755.003737139,62532.8913207761,20.528842311205,16.7440262508796,16.6834691939144,4.18855973668271,0.476291121661265,0.812684365781711,4.40199675826151,251.599584188855
"Dp2AA01062",1387230963,100,"B100","B100-100","2013-12-16 15:56:03",20,0.274332506797,137046.203273262,82264.6566278609,17.6221035768751,12.1719684500065,12.1114113930413,4.87535071030896,0.557222167875441,0.687285223367698,4.82753592402579,226.148850285911
"Dr6AA000719",1387231402,100,"R133","R133-100","2013-12-16 16:03:22",20,0.176441851193,114937.029949435,78538.5450052614,17.0619507999469,17.516128727186,17.4707109344621,4.04520391522559,0.459398155595973,1.02395740905058,3.90793394627197,198.509550862582
"Dr1AD000180",1387231620,33,"R20","R20-33","2013-12-16 16:07:00",20,0.153162855442,195530.516404263,130346.71834791,30.7327064098423,17.4858501987034,17.4707109344621,7.07129736092525,0.815991235451462,0.568472906403941,5.5704630956665,408.20567099011
"Dr1AD000173",1387231987,33,"R20","R20-33","2013-12-16 16:13:07",20,0.182924290855,151777.174517987,92913.0758655505,23.7837841230848,17.5009894629447,17.4707109344621,5.42846359192424,0.622400665995923,0.734563971992362,4.84563715488685,325.702091240315
"Dr6AA000716",1387232133,100,"R133","R133-100","2013-12-16 16:15:33",20,0.208748572098,133641.039834944,105292.072007013,16.5774943442253,17.5312679914273,17.4707109344621,4.74749493417244,0.542155718075411,1.05388127853881,3.99682941016248,198.280474532558
"Dp1AD000072",1387232351,33,"A10","A10-33","2013-12-16 16:19:11",20,0.202351903444,155618.683240553,137563.782042355,22.4666681340916,13.7767304595845,13.1106028329672,5.57270309412608,0.639397764482775,0.58355795148248,5.20795052630025,348.920814440701
