 ,Label,Circ.,AR,Round,Solidity
367,apple_78.jpg,0.393,2.011,0.497,0.814
368,apple_79.jpg,0.436,1.744,0.574,0.807
369,apple_8.jpg,0.395,1.756,0.569,0.814
370,apple_80.jpg,0.378,1.780,0.562,0.807
371,apple_81.jpg,0.371,1.967,0.508,0.789
372,apple_82.jpg,0.456,1.524,0.656,0.816
373,apple_83.jpg,0.414,2.022,0.495,0.846
374,apple_84.jpg,0.449,1.756,0.570,0.846
375,apple_85.jpg,0.402,1.783,0.561,0.815
376,apple_86.jpg,0.390,1.919,0.521,0.794
377,apple_87.jpg,0.410,1.641,0.609,0.802
378,apple_88.jpg,0.419,1.676,0.597,0.819
379,apple_89.jpg,0.467,1.651,0.606,0.857
380,apple_9.jpg,0.425,2.117,0.472,0.857
381,apple_90.jpg,0.465,1.373,0.728,0.820
382,apple_91.jpg,0.509,1.158,0.863,0.884
383,apple_92.jpg,0.510,1.271,0.787,0.892
384,apple_93.jpg,0.504,1.419,0.705,0.873
385,apple_94.jpg,0.552,1.166,0.858,0.922
386,apple_95.jpg,0.514,1.285,0.778,0.875
387,apple_96.jpg,0.551,1.335,0.749,0.905
388,apple_97.jpg,0.510,1.317,0.759,0.889
389,apple_98.jpg,0.534,1.291,0.774,0.887
390,apple_99.jpg,0.420,1.701,0.588,0.806
391,arabidopsis_1.jpg,0.337,3.655,0.274,0.924
392,arabidopsis_10.jpg,0.345,2.588,0.386,0.859
393,arabidopsis_100.jpg,0.428,1.953,0.512,0.857
394,arabidopsis_101.jpg,0.568,1.935,0.517,0.938
395,arabidopsis_102.jpg,0.526,1.919,0.521,0.910
396,arabidopsis_103.jpg,0.448,2.732,0.366,0.909
397,arabidopsis_104.jpg,0.432,2.537,0.394,0.893
398,arabidopsis_105.jpg,0.473,2.261,0.442,0.906
399,arabidopsis_106.jpg,0.424,2.573,0.389,0.899
400,arabidopsis_107.jpg,0.347,2.564,0.390,0.886
401,arabidopsis_108.jpg,0.433,2.751,0.364,0.926
402,arabidopsis_109.jpg,0.353,3.591,0.278,0.910
403,arabidopsis_11.jpg,0.569,2.162,0.462,0.956
404,arabidopsis_110.jpg,0.377,2.693,0.371,0.921
405,arabidopsis_111.jpg,0.450,2.558,0.391,0.936
406,arabidopsis_112.jpg,0.481,2.625,0.381,0.944
407,arabidopsis_113.jpg,0.513,2.265,0.441,0.949
408,arabidopsis_114.jpg,0.413,2.454,0.407,0.890
409,arabidopsis_115.jpg,0.449,2.677,0.374,0.924
410,arabidopsis_116.jpg,0.386,2.864,0.349,0.891
411,arabidopsis_117.jpg,0.453,2.867,0.349,0.940
412,arabidopsis_118.jpg,0.413,2.332,0.429,0.865
413,arabidopsis_119.jpg,0.435,2.106,0.475,0.943
414,arabidopsis_12.jpg,0.509,2.142,0.467,0.887
415,arabidopsis_120.jpg,0.524,2.318,0.431,0.969
416,arabidopsis_121.jpg,0.390,2.268,0.441,0.870
417,arabidopsis_122.jpg,0.392,2.300,0.435,0.877
418,arabidopsis_123.jpg,0.405,2.511,0.398,0.878
419,arabidopsis_124.jpg,0.441,2.104,0.475,0.866
420,arabidopsis_125.jpg,0.325,3.221,0.310,0.775
421,arabidopsis_126.jpg,0.531,2.358,0.424,0.946
422,arabidopsis_127.jpg,0.417,2.912,0.343,0.962
423,arabidopsis_128.jpg,0.396,2.811,0.356,0.896
424,arabidopsis_129.jpg,0.474,2.501,0.400,0.933
425,arabidopsis_13.jpg,0.361,4.069,0.246,0.905
426,arabidopsis_130.jpg,0.506,2.388,0.419,0.949
427,arabidopsis_131.jpg,0.367,3.262,0.307,0.894
428,arabidopsis_132.jpg,0.332,2.404,0.416,0.864
429,arabidopsis_133.jpg,0.413,2.724,0.367,0.908
430,arabidopsis_134.jpg,0.354,2.769,0.361,0.877
